Feature1,Feature2,Label
2.248357077,1.930867849,0
2.323844269,2.761514928,0
1.882923313,1.882931522,0
2.789606408,2.383717365,0
1.765262807,2.271280022,0
1.768291154,1.767135123,0
2.120981136,1.043359878,0
1.137541084,1.718856235,0
1.49358444,2.157123666,0
1.545987962,1.293848149,0
2.732824384,1.88711185,0
2.033764102,1.287625907,0
1.727808638,2.055461295,0
1.424503211,2.187849009,0
1.699680655,1.854153125,0
1.699146694,2.926139092,0
1.993251388,1.471144536,0
2.411272456,1.389578175,0
2.104431798,1.020164938,0
1.335906976,2.098430618,0
2.36923329,2.085684141,0
1.942175859,1.849448152,0
1.260739005,1.640077896,0
1.769680615,2.528561113,0
2.171809145,1.118479922,0
2.162041985,1.80745886,0
1.661539,2.305838144,0
2.515499761,2.46564006,0
1.580391238,1.845393812,0
2.165631716,2.487772564,0
1.760412881,1.907170512,0
1.446832513,1.401896688,0
2.406262911,2.678120014,0
1.963994939,2.501766449,0
2.180818013,1.677440123,0
2.180697803,2.769018283,0
1.98208698,2.782321828,0
0.690127448,2.410951252,0
2.043523534,1.850496325,0
2.045880388,1.006215543,0
1.890164056,2.178556286,0
2.738947022,1.740864891,0
1.595753199,1.749121478,0
2.457701059,2.164375555,0
1.735119898,2.256633717,0
2.048538775,2.484322495,0
1.648973453,1.836168927,0
1.803945923,1.268242526,0
2.148060139,2.130527636,0
2.002556728,1.882706433,0
3.292314629,3.789677339,1
3.828642742,3.598861365,1
3.919357144,4.202025428,1
4.943092951,4.087288906,1
4.128775195,3.962777042,1
3.040614392,3.986743062,1
4.030115105,5.231621056,1
3.903819518,4.150773671,1
3.982644115,3.415660981,1
4.571411407,4.375966516,1
4.395515974,3.545306273,1
4.701397155,3.299074469,1
4.293428547,5.095227813,1
3.504731837,3.716851135,1
4.049825683,3.748262173,1
3.224668284,4.034281487,1
3.468848143,4.236796215,1
3.540287883,4.774967203,1
3.608373354,3.838969242,1
4.406758609,3.384567842,1
4.113729967,4.653571377,1
3.196258383,4.092316929,1
4.129941397,4.390911436,1
3.381524645,3.339771693,1
4.260970783,4.148492337,1
4.125246425,4.173224105,1
3.659987639,4.116126849,1
4.146536237,3.642824291,1
4.932887256,4.23691646,1
3.404348251,4.328276804,1
3.512659165,4.393542302,1
4.57929779,3.589658841,1
4.481688065,4.206390463,1
4.41103008,4.948396491,1
3.877305942,3.623131918,1
3.555242785,3.592094858,1
3.961449145,4.170575987,1
4.1383454,4.413591625,1
4.006500946,4.726767039,1
3.867671583,5.360084583,1
4.312833674,3.571421222,1
3.464553751,4.241236208,1
3.888268607,4.357000247,1
4.236618812,3.963585544,1
3.576603141,3.242576388,1
3.776742524,4.428199397,1
4.107046872,3.377130611,1
4.086590463,4.19265869,1
3.558071282,4.076862553,1
4.029104359,3.428514851,1
